vars sample time
2 200 0.0275352001190186
4 200 0.232177019119263
8 200 0.602004051208496
16 200 1.26612305641174
32 200 2.59035205841064
64 200 3.89202809333801 
2 400 0.0594708919525146
4 400 0.325562000274658
8 400 0.358994007110596
16 400 1.11779880523682
32 400 3.1665370464325
64 400 5.13063812255859
2 800 0.292521953582764
4 800 0.415856838226318
8 800 0.591359853744507
16 800 1.99669098854065
32 800 4.75662708282471
64 800 9.68492698669434
2 1600 0.330962896347046
4 1600 1.11554598808289
8 1600 1.71447110176086
16 1600 3.04590797424316
32 1600 6.34042310714722
64 1600 13.2478241920471
2 3200 0.841032981872559
4 3200 1.6388840675354
8 3200 4.20046710968018
16 3200 5.61291694641113
32 3200 14.5368480682373
64 3200 28.0535309314728
2 6400 5.60379409790039
4 6400 4.98814082145691
8 6400 3.8126528263092
16 6400 10.2403709888458
32 6400 16.5660541057587
64 6400 58.0193710327148
2 12800 24.3389191627502
4 12800 9.91552805900574
8 12800 22.3632531166077
16 12800 38.3776350021362
32 12800 94.0455801486969
64 12800 64.6117000579834
2 25600 33.708044052124
4 25600 41.3316829204559
8 25600 152.349020957947
16 25600 158.49473285675
32 25600 58.9460291862488
64 25600 159.506371021271
2 200 0.0329298973083496
4 200 0.0929949283599854
8 200 0.214432954788208
16 200 0.844305038452148
32 200 2.36281991004944
64 200 3.73555588722229
2 400 0.279839038848877
4 400 0.141947984695435
8 400 0.3312828540802
16 400 1.20168089866638
32 400 2.83614897727966
64 400 6.70118808746338
2 800 0.0456678867340088
4 800 0.610748052597046
8 800 0.906907081604004
16 800 1.97067189216614
32 800 4.33517384529114
64 800 8.81327605247498
2 1600 0.48021411895752
4 1600 1.51218795776367
8 1600 1.54932904243469
16 1600 3.2171618938446
32 1600 7.44046878814697
64 1600 15.0866918563843
2 3200 0.51525092124939
4 3200 2.93480801582336
8 3200 3.79561996459961
16 3200 4.09910297393799
32 3200 9.32210397720337
64 3200 22.1202878952026
2 6400 3.82318902015686
4 6400 27.022216796875
8 6400 11.7637259960175
16 6400 15.5447721481323
32 6400 20.5313930511475
64 6400 51.9624829292297
2 12800 4.18284201622009
4 12800 14.4604089260101
8 12800 22.2882759571075
16 12800 45.2001662254333
32 12800 45.0232119560242
64 12800 68.9233450889587
2 25600 17.2678120136261
4 25600 59.7674169540405
8 25600 66.0137758255005
16 25600 33.4113059043884
32 25600 95.7677760124207
64 25600 193.76855802536
2 200 0.0628600120544434
4 200 0.0543830394744873
8 200 0.200711965560913
16 200 0.707428932189941
32 200 2.26509189605713
64 200 3.60064601898193
2 400 0.10875391960144
4 400 0.109566926956177
8 400 0.371385097503662
16 400 1.30648803710938
32 400 2.82537889480591
64 400 5.5258891582489
2 800 0.112009048461914
4 800 0.329903125762939
8 800 1.04946804046631
16 800 1.8994460105896
32 800 3.60950088500977
64 800 8.0186140537262
2 1600 0.490365982055664
4 1600 2.26139402389526
8 1600 1.41457295417786
16 1600 2.98294901847839
32 1600 6.98473811149597
64 1600 15.8267319202423
2 3200 1.32626891136169
4 3200 2.04295516014099
8 3200 4.3174409866333
16 3200 6.34831285476685
32 3200 14.147360086441
64 3200 21.4712500572205
2 6400 2.31089615821838
4 6400 5.7373960018158
8 6400 9.42899203300476
16 6400 14.6394422054291
32 6400 19.4355909824371
64 6400 44.249566078186
2 12800 6.92084693908691
4 12800 32.2441790103912
8 12800 12.9878060817719
16 12800 35.0613989830017
32 12800 37.1662309169769
64 12800 115.505264997482
2 25600 31.3289778232574
4 25600 19.2000288963318
8 25600 55.0682590007782
16 25600 97.0970468521118
32 25600 83.7235260009766
64 25600 125.417273044586
2 200 0.0407340526580811
4 200 0.0484490394592285
8 200 0.187459945678711
16 200 0.76554799079895
32 200 2.00468397140503
64 200 3.66065788269043
2 400 0.105317831039429
4 400 0.0672390460968018
8 400 0.566414833068848
16 400 1.02031898498535
32 400 2.83007287979126
64 400 5.82858395576477
2 800 0.282586812973022
4 800 0.37213397026062
8 800 0.637693166732788
16 800 1.92015099525452
32 800 3.89905405044556
64 800 6.93139600753784
2 1600 0.434257984161377
4 1600 0.928168058395386
8 1600 1.77118611335754
16 1600 3.34633684158325
32 1600 7.46180701255798
64 1600 11.4326429367065
2 3200 1.56782102584839
4 3200 1.71245718002319
8 3200 3.8597309589386
16 3200 8.06802010536194
32 3200 12.1156470775604
64 3200 31.6106929779053
2 6400 6.89297795295715
4 6400 4.90125298500061
8 6400 9.37904405593872
16 6400 11.3390250205994
32 6400 12.8085007667542
64 6400 42.0098910331726
2 12800 1.74235081672668
4 12800 18.6652820110321
8 12800 14.367583990097
16 12800 16.2287549972534
32 12800 41.2592840194702
64 12800 61.3113360404968
2 25600 27.7432918548584
4 25600 60.2352049350739
8 25600 121.154051065445
16 25600 40.1252977848053
32 25600 63.5930359363556
64 25600 119.45524096489
2 200 0.085676908493042
4 200 0.0998208522796631
8 200 0.267745971679688
16 200 0.794099092483521
32 200 2.44171500205994
64 200 4.20183420181274
2 400 0.097916841506958
4 400 0.255157947540283
8 400 0.308883905410767
16 400 1.0802891254425
32 400 2.66999697685242
64 400 5.93908882141113
2 800 0.21461296081543
4 800 0.41156792640686
8 800 0.781820058822632
16 800 2.00533580780029
32 800 4.01534795761108
64 800 6.8941011428833
2 1600 0.619871854782104
4 1600 0.392407894134521
8 1600 1.57174491882324
16 1600 3.22552084922791
32 1600 5.84437203407288
64 1600 16.3140389919281
2 3200 0.982688903808594
4 3200 1.9846408367157
8 3200 3.90398693084717
16 3200 6.05135798454285
32 3200 13.6505169868469
64 3200 24.0133430957794
2 6400 2.57479691505432
4 6400 4.9037299156189
8 6400 10.9872050285339
16 6400 13.0201020240784
32 6400 21.0878720283508
64 6400 45.3816471099854
2 12800 6.61097288131714
4 12800 24.9761481285095
8 12800 15.7921299934387
16 12800 30.5894758701324
32 12800 70.2645199298859
64 12800 102.015868902206
2 25600 52.6288659572601
4 25600 75.7739942073822
8 25600 61.9085900783539
16 25600 89.4230129718781
32 25600 85.6875190734863
64 25600 144.147931098938
2 200 0.0371918678283691
4 200 0.0675508975982666
8 200 0.226587057113647
16 200 0.759331941604614
32 200 2.03135704994202
64 200 3.50649881362915
2 400 0.0369551181793213
4 400 0.282032012939453
8 400 0.280612945556641
16 400 1.08373188972473
32 400 3.10333895683289
64 400 6.00015592575073
2 800 0.110210180282593
4 800 0.154236078262329
8 800 0.641812801361084
16 800 1.72740888595581
32 800 4.5293550491333
64 800 10.4300410747528
2 1600 0.9355628490448
4 1600 1.06386780738831
8 1600 2.76792502403259
16 1600 3.4509220123291
32 1600 14.4620590209961
64 1600 16.6367239952087
2 3200 0.848059892654419
4 3200 2.74185395240784
8 3200 7.80994486808777
16 3200 5.68084406852722
32 3200 12.8896219730377
64 3200 30.1974289417267
2 6400 3.34691905975342
4 6400 5.41832089424133
8 6400 5.09236001968384
16 6400 9.02476596832275
32 6400 28.3099100589752
64 6400 48.7372670173645
2 12800 8.41803288459778
4 12800 8.97300601005554
8 12800 13.1375379562378
