quality,speed,dist_raw,dist
0.3,1,-0.0893309,0
0.35,0,0.77178735,0.77178735
0.35,0.05,0.7288154,0.7288154
0.35,0.1,0.68584345,0.68584345
0.35,0.15,0.6428715,0.6428715
0.35,0.2,0.59989955,0.59989955
0.35,0.25,0.5569276,0.5569276
0.35,0.3,0.51395565,0.51395565
0.35,0.35,0.4709837,0.4709837
0.35,0.4,0.42801175,0.42801175
0.35,0.45,0.3850398,0.3850398
0.35,0.5,0.34206785,0.34206785
0.35,0.55,0.2990959,0.2990959
0.35,0.6,0.25612395,0.25612395
0.35,0.65,0.213152,0.213152
0.35,0.7,0.17018005,0.17018005
0.35,0.75,0.1272081,0.1272081
0.35,0.8,0.08423615,0.08423615
0.35,0.85,0.0412642,0.0412642
0.35,0.9,-0.00170775,0
0.35,0.95,-0.0446797,0
0.35,1,-0.08765165,0
0.4,0,0.7734666,0.7734666
0.4,0.05,0.73049465,0.73049465
0.4,0.1,0.6875227,0.6875227
0.4,0.15,0.64455075,0.64455075
0.4,0.2,0.6015788,0.6015788
0.4,0.25,0.55860685,0.55860685
0.4,0.3,0.5156349,0.5156349
0.4,0.35,0.47266295,0.47266295
0.4,0.4,0.429691,0.429691
0.4,0.45,0.38671905,0.38671905
0.4,0.5,0.3437471,0.3437471
0.4,0.55,0.30077515,0.30077515
0.4,0.6,0.2578032,0.2578032
0.4,0.65,0.21483125,0.21483125
0.4,0.7,0.1718593,0.1718593
0.4,0.75,0.12888735,0.12888735
0.4,0.8,0.0859154,0.0859154
0.4,0.85,0.04294345,0.04294345
0.4,0.9,-0.0000285,0
0.4,0.95,-0.04300045,0
0.4,1,-0.0859724,0
0.45,0,0.77514585,0.77514585
0.45,0.05,0.7321739,0.7321739
0.45,0.1,0.68920195,0.68920195
0.45,0.15,0.64623,0.64623
0.45,0.2,0.60325805,0.60325805
0.45,0.25,0.5602861,0.5602861
0.45,0.3,0.51731415,0.51731415
0.45,0.35,0.4743422,0.4743422
0.45,0.4,0.43137025,0.43137025
0.45,0.45,0.3883983,0.3883983
0.45,0.5,0.34542635,0.34542635
0.45,0.55,0.3024544,0.3024544
0.45,0.6,0.25948245,0.25948245
0.45,0.65,0.2165105,0.2165105
0.45,0.7,0.17353855,0.17353855
0.45,0.75,0.1305666,0.1305666
0.45,0.8,0.08759465,0.08759465
0.45,0.85,0.0446227,0.0446227
0.45,0.9,0.00165075,0.00165075
0.45,0.95,-0.0413212,0
0.45,1,-0.08429315,0
0.5,0,0.7768251,0.7768251
0.5,0.05,0.73385315,0.73385315
0.5,0.1,0.6908812,0.6908812
0.5,0.15,0.64790925,0.64790925
0.5,0.2,0.6049373,0.6049373
0.5,0.25,0.56196535,0.56196535
0.5,0.3,0.5189934,0.5189934
0.5,0.35,0.47602145,0.47602145
0.5,0.4,0.4330495,0.4330495
0.5,0.45,0.39007755,0.39007755
0.5,0.5,0.3471056,0.3471056
0.5,0.55,0.30413365,0.30413365
0.5,0.6,0.2611617,0.2611617
0.5,0.65,0.21818975,0.21818975
0.5,0.7,0.1752178,0.1752178
0.5,0.75,0.13224585,0.13224585
0.5,0.8,0.0892739,0.0892739
0.5,0.85,0.04630195,0.04630195
0.5,0.9,0.00333,0.00333
0.5,0.95,-0.03964195,0
0.5,1,-0.0826139,0
0.55,0,0.77850435,0.77850435
0.55,0.05,0.7355324,0.7355324
0.55,0.1,0.69256045,0.69256045
0.55,0.15,0.6495885,0.6495885
0.55,0.2,0.60661655,0.60661655
0.55,0.25,0.5636446,0.5636446
0.55,0.3,0.52067265,0.52067265
0.55,0.35,0.4777007,0.4777007
0.55,0.4,0.43472875,0.43472875
0.55,0.45,0.3917568,0.3917568
0.55,0.5,0.34878485,0.34878485
0.55,0.55,0.3058129,0.3058129
0.55,0.6,0.26284095,0.26284095
0.55,0.65,0.219869,0.219869
0.55,0.7,0.17689705,0.17689705
0.55,0.75,0.1339251,0.1339251
0.55,0.8,0.09095315,0.09095315
0.55,0.85,0.0479812,0.0479812
0.55,0.9,0.00500925,0.00500925
0.55,0.95,-0.0379627,0
0.55,1,-0.08093465,0
0.6,0,0.7801836,0.7801836
0.6,0.05,0.73721165,0.73721165
0.6,0.1,0.6942397,0.6942397
0.6,0.15,0.65126775,0.65126775
0.6,0.2,0.6082958,0.6082958
0.6,0.25,0.56532385,0.56532385
0.6,0.3,0.5223519,0.5223519
0.6,0.35,0.47937995,0.47937995
0.6,0.4,0.436408,0.436408
0.6,0.45,0.39343605,0.39343605
0.6,0.5,0.3504641,0.3504641
0.6,0.55,0.30749215,0.30749215
0.6,0.6,0.2645202,0.2645202
0.6,0.65,0.22154825,0.22154825
0.6,0.7,0.1785763,0.1785763
0.6,0.75,0.13560435,0.13560435
0.6,0.8,0.0926324,0.0926324
0.6,0.85,0.04966045,0.04966045
0.6,0.9,0.0066885,0.0066885
0.6,0.95,-0.03628345,0
0.6,1,-0.0792554,0
0.65,0,0.78186285,0.78186285
0.65,0.05,0.7388909,0.7388909
