method vars sample time
MCMC 32 400 2.669996977
MCMC 64 400 5.939088821
MCMC 2 800 0.2146129608
MCMC 4 800 0.4115679264
MCMC 8 800 0.7818200588
MCMC 16 800 2.005335808
MCMC 32 800 4.015347958
MCMC 64 800 6.894101143
MCMC 2 1600 0.6198718548
MCMC 4 1600 0.3924078941
MCMC 8 1600 1.571744919
MCMC 16 1600 3.225520849
MCMC 32 1600 5.844372034
MCMC 64 1600 16.31403899
MCMC 2 3200 0.9826889038
MCMC 4 3200 1.984640837
MCMC 8 3200 3.903986931
MCMC 16 3200 6.051357985
MCMC 32 3200 13.65051699
MCMC 64 3200 24.0133431
MCMC 2 6400 2.574796915
MCMC 4 6400 4.903729916
MCMC 8 6400 10.98720503
MCMC 16 6400 13.02010202
MCMC 32 6400 21.08787203
MCMC 64 6400 45.38164711
MCMC 2 12800 6.610972881
MCMC 4 12800 24.97614813
MCMC 8 12800 15.79212999
MCMC 16 12800 30.58947587
MCMC 32 12800 70.26451993
MCMC 64 12800 102.0158689
MCMC 2 25600 52.62886596
MCMC 4 25600 75.77399421
MCMC 8 25600 61.90859008
MCMC 16 25600 89.42301297
MCMC 32 25600 85.68751907
MCMC 64 25600 144.1479311
MCMC 2 200 0.03719186783
MCMC 4 200 0.0675508976
MCMC 8 200 0.2265870571
MCMC 16 200 0.7593319416
MCMC 32 200 2.03135705
MCMC 64 200 3.506498814
MCMC 2 400 0.03695511818
MCMC 4 400 0.2820320129
MCMC 8 400 0.2806129456
MCMC 16 400 1.08373189
MCMC 32 400 3.103338957
MCMC 64 400 6.000155926
MCMC 2 800 0.1102101803
MCMC 4 800 0.1542360783
MCMC 8 800 0.6418128014
MCMC 16 800 1.727408886
MCMC 32 800 4.529355049
MCMC 64 800 10.43004107
MCMC 2 1600 0.935562849
MCMC 4 1600 1.063867807
MCMC 8 1600 2.767925024
MCMC 16 1600 3.450922012
MCMC 32 1600 14.46205902
MCMC 64 1600 16.636724
MCMC 2 3200 0.8480598927
MCMC 4 3200 2.741853952
MCMC 8 3200 7.809944868
MCMC 16 3200 5.680844069
MCMC 32 3200 12.88962197
MCMC 64 3200 30.19742894
MCMC 2 6400 3.34691906
MCMC 4 6400 5.418320894
MCMC 8 6400 5.09236002
MCMC 16 6400 9.024765968
MCMC 32 6400 28.30991006
MCMC 64 6400 48.73726702
MCMC 2 12800 8.418032885
MCMC 4 12800 8.97300601
MCMC 8 12800 13.13753796
MCMC 16 12800 42.10756516
MCMC 32 12800 44.84035182
MCMC 64 12800 100.748668
MCMC 2 25600 14.58840203
MCMC 4 25600 8.002213955
MCMC 8 25600 16.8527329
MCMC 16 25600 101.4790699
MCMC 32 25600 80.04270911
MCMC 64 25600 158.1601171
MCMC 2 200 0.124063015
MCMC 4 200 0.1308600903
MCMC 8 200 0.30468297
MCMC 16 200 0.8061621189
MCMC 32 200 1.931617022
MCMC 64 200 3.826086998
MCMC 2 400 0.0579829216
MCMC 4 400 0.2541129589
MCMC 8 400 0.5216991901
MCMC 16 400 0.9848890305
MCMC 32 400 2.232101917
MCMC 64 400 7.205862999
MCMC 2 800 0.3276238441
MCMC 4 800 0.2356979847
MCMC 8 800 0.6942119598
MCMC 16 800 2.143124819
MCMC 32 800 4.821135998
MCMC 64 800 9.818077087
MCMC 2 1600 0.5745339394
MCMC 4 1600 0.5490670204
MCMC 8 1600 1.449131966
MCMC 16 1600 3.449916124
MCMC 32 1600 7.237285852
MCMC 64 1600 13.85986996
MCMC 2 3200 0.2729690075
MCMC 4 3200 1.372941971
MCMC 8 3200 3.174163103
MCMC 16 3200 6.490651846
MCMC 32 3200 12.75644803
MCMC 64 3200 23.43728113
MCMC 2 6400 5.120110035
MCMC 4 6400 2.973886967
MCMC 8 6400 6.38994813
MCMC 16 6400 13.20875406
MCMC 32 6400 27.39554095
MCMC 64 6400 42.40547395
MCMC 2 12800 5.376997948
MCMC 4 12800 9.214655161
MCMC 8 12800 11.72578502
MCMC 16 12800 41.80187893
MCMC 32 12800 51.25379205
MCMC 64 12800 111.98634
MCMC 2 25600 16.77316904
MCMC 4 25600 63.84708595
MCMC 8 25600 90.66031289
MCMC 16 25600 65.71003485
MCMC 32 25600 77.41235495
MCMC 64 25600 147.936631
MCMC 2 200 0.1657018661
MCMC 4 200 0.07851696014
MCMC 8 200 0.3620021343
MCMC 16 200 0.5536088943
MCMC 32 200 2.102428198
MCMC 64 200 3.689049959
MCMC 2 400 0.05154299736
MCMC 4 400 0.1991081238
MCMC 8 400 0.3897209167
MCMC 16 400 1.10995698
MCMC 32 400 3.71696806
MCMC 64 400 5.56220603
MCMC 2 800 0.6388530731
MCMC 4 800 0.2761359215
MCMC 8 800 0.7847521305
MCMC 16 800 1.494150162
MCMC 32 800 3.758800983
MCMC 64 800 11.10132194
MCMC 2 1600 1.240521908
MCMC 4 1600 2.470860958
MCMC 8 1600 1.637207985
