type	model	precision	recall	F1
Logit	Logit1	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit1	0.412140575080	0.908450704225352	0.567032967032967
Logit	Logit1	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit1	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit1	0.508982035928	0.598591549295774	0.550161812297734
Logit	Logit1	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit1	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit1	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit1	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.654545454545	0.253521126760563	0.365482233502538
Logit	Logit2	0.558139534884	0.169014084507042	0.259459459459459
Logit	Logit2	0.523809523810	0.154929577464788	0.239130434782608
Logit	Logit2	0.464285714286	0.366197183098591	0.409448818897637
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.510869565217	0.330985915492957	0.401709401709401
Logit	Logit2	0.536231884058	0.260563380281690	0.350710900473933
Logit	Logit2	0.580645161290	0.253521126760563	0.352941176470588
Logit	Logit2	0.412140575080	0.908450704225352	0.567032967032967
Logit	Logit2	0.573770491803	0.246478873239436	0.344827586206896
Logit	Logit2	0.629629629630	0.239436619718309	0.346938775510204
Logit	Logit2	0.458064516129	0.500000000000000	0.478114478114478
Logit	Logit2	0.563636363636	0.218309859154929	0.314720812182741
Logit	Logit2	0.266666666667	0.028169014084507	0.050955414012739
Logit	Logit2	0.366336633663	0.260563380281690	0.304526748971193
Logit	Logit2	0.490566037736	0.183098591549295	0.266666666666666
Logit	Logit2	0.549019607843	0.197183098591549	0.290155440414507
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.448275862069	0.274647887323943	0.340611353711790
Logit	Logit2	0.400000000000	0.070422535211268	0.119760479041916
Logit	Logit2	0.544117647059	0.260563380281690	0.352380952380952
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.433962264151	0.161971830985915	0.235897435897435
Logit	Logit2	0.448979591837	0.309859154929577	0.366666666666666
Logit	Logit2	0.504672897196	0.380281690140845	0.433734939759036
Logit	Logit2	0.508620689655	0.415492957746478	0.457364341085271
Logit	Logit2	0.344827586207	0.211267605633802	0.262008733624454
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.507246376812	0.246478873239436	0.331753554502369
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit2	0.541176470588	0.323943661971831	0.405286343612334
Logit	Logit2	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit3	0.609756097561	0.352112676056338	0.446428571428571
Logit	Logit3	0.619047619048	0.274647887323943	0.380487804878048
Logit	Logit3	0.585106382979	0.387323943661971	0.466101694915254
Logit	Logit3	0.649122807018	0.260563380281690	0.371859296482412
Logit	Logit3	0.631578947368	0.253521126760563	0.361809045226130
Logit	Logit3	0.654545454545	0.253521126760563	0.365482233502538
Logit	Logit3	0.563829787234	0.373239436619718	0.449152542372881
Logit	Logit3	0.566666666667	0.239436619718309	0.336633663366336
Logit	Logit3	0.602272727273	0.373239436619718	0.460869565217391
Logit	Logit3	0.562500000000	0.190140845070422	0.284210526315789
Logit	Logit3	0.560000000000	0.197183098591549	0.291666666666666
Logit	Logit3	0.545454545455	0.169014084507042	0.258064516129032
Logit	Logit3	0.568421052632	0.380281690140845	0.455696202531645
Logit	Logit3	0.538461538462	0.345070422535211	0.420600858369098
Logit	Logit3	0.525000000000	0.147887323943661	0.230769230769230
Logit	Logit3	0.544117647059	0.260563380281690	0.352380952380952
Logit	Logit3	0.534883720930	0.161971830985915	0.248648648648648
Logit	Logit3	0.522727272727	0.323943661971831	0.400000000000000
Logit	Logit3	0.435185185185	0.330985915492957	0.376000000000000
Logit	Logit3	0.504672897196	0.380281690140845	0.433734939759036
Logit	Logit3	0.468468468468	0.366197183098591	0.411067193675889
Logit	Logit3	0.551020408163	0.380281690140845	0.450000000000000
Logit	Logit3	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit3	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit3	0.505617977528	0.316901408450704	0.389610389610389
Logit	Logit3	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit3	0.515789473684	0.345070422535211	0.413502109704641
Logit	Logit3	0.516483516484	0.330985915492957	0.403433476394849
Logit	Logit3	0.632352941176	0.302816901408450	0.409523809523809
Logit	Logit3	0.481132075472	0.359154929577464	0.411290322580645
Logit	Logit3	0.593023255814	0.359154929577464	0.447368421052631
Logit	Logit3	0.650000000000	0.366197183098591	0.468468468468468
Logit	Logit3	0.540983606557	0.232394366197183	0.325123152709359
Logit	Logit3	0.557692307692	0.204225352112676	0.298969072164948
Logit	Logit3	0.539215686275	0.387323943661971	0.450819672131147
Logit	Logit3	0.546875000000	0.246478873239436	0.339805825242718
Logit	Logit3	0.606741573034	0.380281690140845	0.467532467532467
Logit	Logit3	0.550000000000	0.232394366197183	0.326732673267326
Logit	Logit3	0.549295774648	0.274647887323943	0.366197183098591
Logit	Logit3	0.551020408163	0.380281690140845	0.450000000000000
Logit	Logit3	0.597938144330	0.408450704225352	0.485355648535564
Logit	Logit3	0.454081632653	0.626760563380281	0.526627218934911
Logit	Logit3	0.500000000000	0.359154929577464	0.418032786885245
